City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Fairbanks,64.8378,-147.7164,24.76,69,100,0.0,US,2022-03-09 07:20:03
67,San Jose,37.3394,-121.895,55.35,58,0,4.61,US,2022-03-09 07:16:43
68,Dole,47.0833,5.5,42.12,79,1,4.61,FR,2022-03-09 07:20:41
69,Dikson,73.5069,80.5464,-20.22,98,67,4.88,RU,2022-03-09 07:16:41
70,Bengkulu,-3.8004,102.2655,85.39,62,93,5.01,ID,2022-03-09 07:20:42
71,Clyde River,70.4692,-68.5914,-7.37,77,100,20.71,CA,2022-03-09 07:20:42
72,Lewisporte,49.2499,-55.0482,26.31,72,100,21.94,CA,2022-03-09 07:20:43
73,Te Anau,-45.4167,167.7167,63.9,85,100,1.74,NZ,2022-03-09 07:20:43
74,Poronaysk,49.2167,143.1167,24.73,87,30,2.62,RU,2022-03-09 07:20:44
75,Gamba,-2.65,10.0,80.47,84,100,5.79,GA,2022-03-09 07:20:44
76,Pontes E Lacerda,-15.2261,-59.3353,70.68,97,100,1.57,BR,2022-03-09 07:20:45
77,Terebovlya,49.3019,25.71,24.37,58,8,5.44,UA,2022-03-09 07:20:45
78,Ostrovnoy,68.0531,39.5131,24.15,90,100,12.21,RU,2022-03-09 07:20:45
79,Port Alfred,-33.5906,26.891,74.7,69,29,18.57,ZA,2022-03-09 07:20:46
80,Santa Maria,-29.6842,-53.8069,67.71,93,100,7.38,BR,2022-03-09 07:20:46
81,Oranjemund,-28.55,16.4333,66.56,86,37,8.16,NA,2022-03-09 07:20:47
82,Bethel,41.3712,-73.414,35.96,70,0,0.0,US,2022-03-09 07:20:48
83,Port Macquarie,-31.4333,152.9167,73.36,73,90,15.97,AU,2022-03-09 07:20:48
84,Gijon,43.5357,-5.6615,47.66,97,100,1.99,ES,2022-03-09 07:20:12
85,Aviles,43.5547,-5.9248,47.59,81,75,4.61,ES,2022-03-09 07:20:49
86,Rikitea,-23.1203,-134.9692,78.64,72,66,6.17,PF,2022-03-09 07:20:50
87,Mende,44.6667,3.5,29.97,93,100,2.91,FR,2022-03-09 07:20:50
88,Kismayo,-0.3582,42.5454,83.66,66,37,15.23,SO,2022-03-09 07:21:51
89,Bridlington,54.0831,-0.1919,44.29,89,83,5.99,GB,2022-03-09 07:20:20
90,Namibe,-15.1961,12.1522,76.15,59,77,8.61,AO,2022-03-09 07:21:52
91,Bayonne,43.3333,-1.4167,49.96,81,0,5.75,FR,2022-03-09 07:21:44
92,Tambovka,50.0969,128.0489,46.51,89,99,14.36,RU,2022-03-09 07:21:56
93,Fortuna,40.5982,-124.1573,41.67,93,15,3.56,US,2022-03-09 07:21:56
94,Barra Do Garcas,-15.89,-52.2567,69.58,95,28,1.92,BR,2022-03-09 07:18:06
95,Souillac,-20.5167,57.5167,85.35,89,40,6.91,MU,2022-03-09 07:21:57
96,Saint-Philippe,-21.3585,55.7679,85.59,81,54,9.35,RE,2022-03-09 07:21:57
97,Tuktoyaktuk,69.4541,-133.0374,-11.69,99,100,7.34,CA,2022-03-09 07:21:58
98,Albany,42.6001,-73.9662,27.59,76,100,3.18,US,2022-03-09 07:21:59
99,Cape Town,-33.9258,18.4232,77.11,73,0,3.44,ZA,2022-03-09 07:17:58
100,Kaihua,23.3687,104.28,78.91,38,1,12.75,CN,2022-03-09 07:21:59
101,Praia Da Vitoria,38.7333,-27.0667,55.65,88,75,4.76,PT,2022-03-09 07:22:00
102,Nikolskoye,59.7035,30.7861,15.69,90,13,2.62,RU,2022-03-09 07:22:00
103,Nanortalik,60.1432,-45.2371,10.94,70,74,10.71,GL,2022-03-09 07:22:01
104,Lata,40.1629,-8.3327,52.21,96,90,4.85,PT,2022-03-09 07:22:01
105,Perbaungan,3.5679,98.956,87.91,65,39,7.49,ID,2022-03-09 07:22:02
106,Mezen,65.8522,44.24,13.39,93,100,7.61,RU,2022-03-09 07:22:02
107,East London,-33.0153,27.9116,76.14,69,40,11.5,ZA,2022-03-09 07:20:17
108,Lakatoro,-16.0999,167.4164,82.63,80,35,4.68,VU,2022-03-09 07:22:03
109,Geraldton,-28.7667,114.6,99.01,18,100,21.85,AU,2022-03-09 07:22:03
110,Pevek,69.7008,170.3133,-0.83,99,63,3.18,RU,2022-03-09 07:22:04
111,Cidreira,-30.1811,-50.2056,74.77,79,100,10.92,BR,2022-03-09 07:22:04
112,Mayumba,-3.432,10.6554,81.21,82,100,8.5,GA,2022-03-09 07:22:05
113,Korla,41.7597,86.1469,59.4,20,10,8.23,CN,2022-03-09 07:22:05
114,Mehendiganj,22.8167,90.5333,87.08,28,0,4.74,BD,2022-03-09 07:22:06
115,Santa Isabel Do Rio Negro,-0.4139,-65.0192,70.16,100,100,1.28,BR,2022-03-09 07:22:06
116,Amga,60.8953,131.9608,12.49,81,100,3.22,RU,2022-03-09 07:22:06
117,Georgetown,5.4112,100.3354,89.53,74,40,10.36,MY,2022-03-09 07:19:29
118,Tyrma,50.0833,132.1667,32.02,89,100,2.95,RU,2022-03-09 07:22:07
119,Caohai,26.8661,104.2841,69.13,30,6,0.78,CN,2022-03-09 07:22:08
