City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
79,Qaanaaq,GL,77.484,-69.3632,-6.0,97,100,5.91,overcast clouds
80,Aklavik,CA,68.2191,-135.0107,-28.43,98,54,1.63,broken clouds
81,San Cristobal,VE,7.7669,-72.225,67.37,86,82,0.43,broken clouds
82,Ushuaia,AR,-54.8,-68.3,40.66,93,100,12.66,overcast clouds
83,Salinas,US,36.6777,-121.6555,56.21,88,100,11.5,mist
84,Tuatapere,NZ,-46.1333,167.6833,61.03,62,66,7.56,broken clouds
85,Sussex,US,41.1834,-74.6663,53.55,62,0,3.44,clear sky
86,Barranca,PE,-10.75,-77.7667,71.44,75,19,5.23,few clouds
87,Kahului,US,20.8947,-156.47,78.82,77,20,11.5,few clouds
88,Muroto,JP,33.2833,134.15,62.76,66,0,3.49,clear sky
89,Nikolskoye,RU,59.7035,30.7861,32.88,91,34,4.83,scattered clouds
90,Korla,CN,41.7597,86.1469,55.11,44,100,15.23,overcast clouds
91,Hithadhoo,MV,-0.6,73.0833,83.43,73,80,13.02,broken clouds
92,Maceio,BR,-9.6658,-35.7353,76.44,94,40,3.44,scattered clouds
93,Kalmunai,LK,7.4167,81.8167,79.39,79,100,1.9,moderate rain
94,Cabo San Lucas,MX,22.8909,-109.9124,72.52,44,2,12.88,clear sky
95,Nicoya,CR,10.1483,-85.452,75.49,75,59,6.11,broken clouds
96,Deder,ET,9.3167,41.45,64.56,33,66,2.8,broken clouds
97,Graham,US,47.0529,-122.2943,44.37,92,75,10.36,broken clouds
98,Puerto Ayora,EC,-0.7393,-90.3518,74.55,97,56,1.01,broken clouds
99,Port Blair,IN,11.6667,92.75,89.64,66,20,9.22,haze
100,Santa Maria,BR,-29.6842,-53.8069,66.58,97,90,8.95,overcast clouds
101,Gainesville,US,29.6516,-82.3248,65.07,88,20,14.97,few clouds
102,Pacific Grove,US,36.6177,-121.9166,55.24,92,100,5.75,mist
103,Ballina,AU,-28.8667,153.5667,75.38,84,84,9.6,broken clouds
104,Yaroslavskiy,RU,44.1683,132.2072,34.9,96,100,7.49,light snow
105,Zhigansk,RU,66.7697,123.3711,0.0,83,100,10.85,overcast clouds
106,Flinders,AU,-34.5833,150.8552,72.37,83,99,4.0,overcast clouds
107,Grindavik,IS,63.8424,-22.4338,28.87,80,75,16.11,light snow
108,Borovskoy,KZ,53.8,64.15,5.74,95,98,6.04,overcast clouds
109,Xichang,CN,27.8964,102.2634,78.78,23,38,2.86,scattered clouds
110,Esperance,AU,-33.8667,121.9,74.37,55,98,14.56,overcast clouds
111,Vila Do Maio,CV,15.1333,-23.2167,68.79,72,41,22.57,scattered clouds
112,Huilong,CN,31.8111,121.655,64.13,75,76,12.1,broken clouds
